model	E_kin	U	eb1_1	eb2_1	eb3_1	eb4_1	mu	t	tb1_1	tb2_1	tb3_1	tb4_1	ave_mu	ave_t	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_mu_1	ave_t_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	E0_1	sector_1	n_1	githash	version	script	time	
2L_4b_gen	-1.0047965	4	0.37049096	-0.20860559	0.36619729	-0.20578149	1.05	1	0.32017518	0.33279633	0.3191058	0.33205807	0.87299202	-1.0047965	nan	nan	nan	nan	nan	0.90695925	-0.61101109	nan	nan	nan	nan	-4.2906419	R0:N6:S0:1	0.90695925	20a4d9d	v2.1.5	general_bath_1D.py	2023-07-27@12:57
2L_4b_gen	-1.005393	4	0.3670034	-0.21109272	0.36285546	-0.20841817	1.05	1	0.3185947	0.33398726	0.31756312	0.33328811	0.87170955	-1.005393	nan	nan	nan	nan	nan	0.90547815	-0.61025313	nan	nan	nan	nan	-4.3006377	R0:N6:S0:1	0.90547815	20a4d9d	v2.1.5	general_bath_1D.py	2023-07-27@12:58
2L_4b_gen	-1.0043658	4	0.37065675	-0.20965583	0.36637584	-0.20713881	1.05	1	0.32023573	0.33396605	0.31921719	0.33327487	0.87048098	-1.0043658	nan	nan	nan	nan	nan	0.90485242	-0.60936696	nan	nan	nan	nan	-4.2972128	R0:N6:S0:1	0.90485242	20a4d9d	v2.1.5	general_bath_1D.py	2023-07-27@12:59

model	omega	E_kin	E_pot	U	eb1_1	eb2_1	eb3_1	eb4_1	mu	t	tb1_1	tb2_1	tb3_1	tb4_1	ave_mu	ave_t	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_mu_1	ave_t_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	E0_1	sector_1	n_1	githash	version	script	time	
2L_4b_gen	0.52168737	-1.0043658	0.29597347	4	0.37065675	-0.20965583	0.36637584	-0.20713881	1.05	1	0.32023573	0.33396605	0.31921719	0.33327487	0.87048098	-1.0043658	nan	nan	nan	nan	nan	0.90485242	-0.60936696	nan	nan	nan	nan	-4.2972128	R0:N6:S0:1	0.90485242	20a4d9d	v2.1.5	general_bath_1D.py	2023-07-27@12:59

model	E_kin	U	eb1_1	eb2_1	eb3_1	eb4_1	mu	t	tb1_1	tb2_1	tb3_1	tb4_1	ave_mu	ave_t	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_mu_1	ave_t_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	E0_1	sector_1	n_1	githash	version	script	time	
2L_4b_gen	-1.0049841	4	0.36657024	-0.20711056	0.36129689	-0.20465794	1.075	1	0.32023766	0.3323832	0.31912923	0.33160546	0.87808282	-1.0049841	nan	nan	nan	nan	nan	0.90947503	-0.61116722	nan	nan	nan	nan	-4.3322558	R0:N6:S0:1	0.90947503	20a4d9d	v2.1.5	general_bath_1D.py	2023-07-27@13:00
2L_4b_gen	-1.0021626	4	0.38478301	-0.21511155	0.38481664	-0.21268356	1.075	1	0.31860889	0.33628793	0.31813242	0.33596218	0.87510336	-1.0021626	nan	nan	nan	nan	nan	0.91087192	-0.61266524	nan	nan	nan	nan	-4.3580545	R0:N6:S0:1	0.91087192	20a4d9d	v2.1.5	general_bath_1D.py	2023-07-27@13:01
2L_4b_gen	-1.0027827	4	0.38423636	-0.21096117	0.38151098	-0.20841212	1.075	1	0.31907625	0.33445591	0.31824631	0.3338888	0.87463363	-1.0027827	nan	nan	nan	nan	nan	0.90926962	-0.61342376	nan	nan	nan	nan	-4.3401289	R0:N6:S0:1	0.90926962	20a4d9d	v2.1.5	general_bath_1D.py	2023-07-27@13:02
2L_4b_gen	-1.0028754	4	0.38668593	-0.21125146	0.38471524	-0.20863267	1.075	1	0.3200678	0.33308486	0.3193271	0.33255978	0.87605344	-1.0028754	nan	nan	nan	nan	nan	0.91104996	-0.61508134	nan	nan	nan	nan	-4.3398317	R0:N6:S0:1	0.91104996	20a4d9d	v2.1.5	general_bath_1D.py	2023-07-27@13:02
2L_4b_gen	-1.0024068	4	0.38771302	-0.21291191	0.3854704	-0.21028393	1.075	1	0.3184294	0.33451751	0.31764748	0.33397706	0.87617467	-1.0024068	nan	nan	nan	nan	nan	0.91262195	-0.6151906	nan	nan	nan	nan	-4.3446653	R0:N6:S0:1	0.91262195	20a4d9d	v2.1.5	general_bath_1D.py	2023-07-27@13:03
2L_4b_gen	-1.0019956	4	0.38010246	-0.21195092	0.37729167	-0.20934674	1.075	1	0.31696229	0.33463011	0.31611059	0.33405487	0.87384176	-1.0019956	nan	nan	nan	nan	nan	0.90903124	-0.61276767	nan	nan	nan	nan	-4.341619	R0:N6:S0:1	0.90903124	20a4d9d	v2.1.5	general_bath_1D.py	2023-07-27@13:04
2L_4b_gen	-1.0025289	4	0.38245173	-0.21001653	0.37951898	-0.20736786	1.075	1	0.31943082	0.33311656	0.31856589	0.33251236	0.87525197	-1.0025289	nan	nan	nan	nan	nan	0.91039684	-0.61333147	nan	nan	nan	nan	-4.33564	R0:N6:S0:1	0.91039684	20a4d9d	v2.1.5	general_bath_1D.py	2023-07-27@13:05
2L_4b_gen	-1.0040475	4	0.38378415	-0.21031823	0.38117485	-0.2078893	1.075	1	0.31855867	0.33400011	0.31776453	0.33345792	0.87539831	-1.0040475	nan	nan	nan	nan	nan	0.91029692	-0.61496884	nan	nan	nan	nan	-4.3363255	R0:N6:S0:1	0.91029692	20a4d9d	v2.1.5	general_bath_1D.py	2023-07-27@13:06
2L_4b_gen	-1.0034027	4	0.38591679	-0.21260957	0.38374282	-0.21011188	1.075	1	0.31982752	0.33382723	0.31908644	0.33329929	0.87627674	-1.0034027	nan	nan	nan	nan	nan	0.91278744	-0.61526874	nan	nan	nan	nan	-4.3462738	R0:N6:S0:1	0.91278744	20a4d9d	v2.1.5	general_bath_1D.py	2023-07-27@13:07
