model	omega	E_kin	E_pot	U	eb1_1	eb2_1	eb3_1	eb4_1	mu	t	tb1_1	tb2_1	tb3_1	tb4_1	ave_mu	ave_t	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_mu_1	ave_t_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	E0_1	sector_1	n_1	githash	version	omegaH	script	time	
2L_4b_gen	0.56063663	-1.0053074	0.21255131	4	0.44636446	-0.23319349	0.45074041	-0.23480545	1.2	1	0.31478487	0.3439091	0.31558093	0.34446432	0.88648895	-1.0053074	nan	nan	nan	nan	nan	0.92599906	-0.63082566	nan	nan	nan	nan	-4.6331144	R0:N6:S0:1	0.92599906	20a4d9d	v2.1.5	0.56063663	general_bath_1D.py	2023-07-26@10:46
2L_4b_gen	0.54949174	-1.0022445	-0.50645622	4	0.46832602	-0.22566831	0.47010507	-0.22492787	1.2	1	0.32782114	0.33831376	0.32787737	0.33832981	0.89668416	-1.0022445	nan	nan	nan	nan	nan	0.93373334	-0.63409272	nan	nan	nan	nan	-4.6142574	R0:N6:S0:1	0.93373334	20a4d9d	v2.1.5	0.54949174	general_bath_1D.py	2023-07-26@10:46
2L_4b_gen	0.5533864	-0.97684268	0.32372251	4	0.48622423	-0.23138795	0.49144088	-0.23157268	1.2	1	0.31780699	0.34223142	0.31839497	0.3426097	0.90305714	-0.97684268	nan	nan	nan	nan	nan	0.94660013	-0.63420324	nan	nan	nan	nan	-4.6212936	R0:N6:S0:1	0.94660013	20a4d9d	v2.1.5	0.5533864	general_bath_1D.py	2023-07-26@10:47
2L_4b_gen	0.5515073	-0.99245673	2.0694921	4	0.57361634	-0.24324011	0.57076589	-0.24247609	1.2	1	0.30333941	0.34989328	0.30287939	0.34963591	0.88975606	-0.99245673	nan	nan	nan	nan	nan	0.95120952	-0.65579873	nan	nan	nan	nan	-4.6244365	R0:N6:S0:1	0.95120952	20a4d9d	v2.1.5	0.5515073	general_bath_1D.py	2023-07-26@10:47
2L_4b_gen	0.52148942	-1.0115055	0.29620015	4	0.41354481	-0.22105395	0.41081809	-0.22002902	1.2	1	0.30360355	0.33104042	0.30306844	0.33071796	0.89840217	-1.0115055	nan	nan	nan	nan	nan	0.9283311	-0.64412192	nan	nan	nan	nan	-4.5524054	R0:N6:S0:1	0.9283311	20a4d9d	v2.1.5	0.52148942	general_bath_1D.py	2023-07-26@10:48
2L_4b_gen	0.58277467	-1.0104171	0.40684352	4	0.47235744	-0.24570586	0.47693613	-0.24720949	1.2	1	0.32661305	0.33485736	0.3273576	0.33545442	0.89031251	-1.0104171	nan	nan	nan	nan	nan	0.93307093	-0.64244123	nan	nan	nan	nan	-4.6892359	R0:N6:S0:1	0.93307093	20a4d9d	v2.1.5	0.58277467	general_bath_1D.py	2023-07-26@10:48
2L_4b_gen	0.51140917	-1.0126458	-0.86662432	4	0.37966516	-0.21550614	0.38173278	-0.21426345	1.2	1	0.3129232	0.33051675	0.31293012	0.33051191	0.88849366	-1.0126458	nan	nan	nan	nan	nan	0.95460863	-0.65192342	nan	nan	nan	nan	-4.5110428	R0:N6:S0:1	0.95460863	20a4d9d	v2.1.5	0.51140917	general_bath_1D.py	2023-07-26@10:48
2L_4b_gen	0.58910198	-1.0126809	-1.8948147	4	0.16316787	-0.24589289	0.15867052	-0.23706265	1.2	1	0.27709701	0.33026116	0.27436977	0.32972739	0.92426111	-1.0126809	nan	nan	nan	nan	nan	0.90683033	-0.59288456	nan	nan	nan	nan	-4.695603	R0:N6:S0:1	0.90683033	20a4d9d	v2.1.5	0.58910198	general_bath_1D.py	2023-07-26@10:49
2L_4b_gen	0.68498181	-0.99499373	0.33934433	4	0.56562787	-0.28913727	0.56261179	-0.28815726	1.2	1	0.34226585	0.36257638	0.34181642	0.36219979	0.90012153	-0.99499373	nan	nan	nan	nan	nan	0.95205596	-0.63822459	nan	nan	nan	nan	-4.8851482	R0:N6:S0:1	0.95205596	20a4d9d	v2.1.5	0.68498181	general_bath_1D.py	2023-07-26@10:49
2L_4b_gen	0.54134145	-1.0065999	-0.91272766	4	0.44694571	-0.22984228	0.44684158	-0.22813986	1.2	1	0.30260348	0.34593779	0.30222519	0.34567494	0.89400719	-1.0065999	nan	nan	nan	nan	nan	0.93848173	-0.64518047	nan	nan	nan	nan	-4.6020783	R0:N6:S0:1	0.93848173	20a4d9d	v2.1.5	0.54134145	general_bath_1D.py	2023-07-26@10:50
2L_4b_gen	0.52965642	-0.99415652	-0.49667883	4	0.42520405	-0.22218888	0.43070086	-0.22087876	1.2	1	0.30906881	0.33546668	0.30945299	0.3356378	0.89185925	-0.99415652	nan	nan	nan	nan	nan	0.92500001	-0.62383744	nan	nan	nan	nan	-4.5764949	R0:N6:S0:1	0.92500001	20a4d9d	v2.1.5	0.52965642	general_bath_1D.py	2023-07-26@10:50
2L_4b_gen	0.53511322	-1.0025299	-0.5620713	4	0.48502996	-0.22218928	0.48732727	-0.22198263	1.2	1	0.32835818	0.33096638	0.32854549	0.33111715	0.89638387	-1.0025299	nan	nan	nan	nan	nan	0.93246747	-0.63943307	nan	nan	nan	nan	-4.5872428	R0:N6:S0:1	0.93246747	20a4d9d	v2.1.5	0.53511322	general_bath_1D.py	2023-07-26@10:50
2L_4b_gen	0.55587588	-1.0007762	0.086574373	4	0.4968492	-0.23482738	0.50095428	-0.23495733	1.2	1	0.32253494	0.337765	0.32297766	0.33807065	0.89044284	-1.0007762	nan	nan	nan	nan	nan	0.93499928	-0.64200597	nan	nan	nan	nan	-4.6302279	R0:N6:S0:1	0.93499928	20a4d9d	v2.1.5	0.55587588	general_bath_1D.py	2023-07-26@10:51
2L_4b_gen	0.52250423	-1.0026984	0.93343829	4	0.4591237	-0.21837573	0.45900618	-0.21704076	1.2	1	0.31831229	0.33187677	0.31804834	0.33165732	0.89284254	-1.0026984	nan	nan	nan	nan	nan	0.92953117	-0.63974852	nan	nan	nan	nan	-4.5612565	R0:N6:S0:1	0.92953117	20a4d9d	v2.1.5	0.52250423	general_bath_1D.py	2023-07-26@10:51
2L_4b_gen	0.55417741	-1.0035056	-0.36855665	4	0.45822546	-0.23222626	0.46411545	-0.23233038	1.2	1	0.31647684	0.33642347	0.31714557	0.33684615	0.90158908	-1.0035056	nan	nan	nan	nan	nan	0.94039997	-0.6404571	nan	nan	nan	nan	-4.6135236	R0:N6:S0:1	0.94039997	20a4d9d	v2.1.5	0.55417741	general_bath_1D.py	2023-07-26@10:51
